"","DISTRITO","PROVINCIA","POSITIVOS","FALLECIDOS"
"1","ARAMANGO","BAGUA",21,1
"2","ASUNCION","CHACHAPOYAS",3,NA
"3","BAGUA","BAGUA",178,6
"4","BAGUA GRANDE","UTCUBAMBA",251,13
"5","CAJARURO","UTCUBAMBA",12,NA
"6","CAMPORREDONDO","LUYA",11,1
"7","CHACHAPOYAS","CHACHAPOYAS",171,NA
"8","COCABAMBA","LUYA",1,NA
"9","COCHAMAL","RODRIGUEZ DE MENDOZA",1,NA
"10","CONILA","LUYA",7,NA
"11","COPALLIN","BAGUA",3,NA
"12","CUMBA","UTCUBAMBA",1,NA
"13","EL MILAGRO","UTCUBAMBA",4,NA
"14","EN INVESTIGACIÓN","EN INVESTIGACIÓN",43,NA
"15","FLORIDA","BONGARA",1,NA
"16","HUANCAS","CHACHAPOYAS",3,NA
"17","IMAZA","BAGUA",14,NA
"18","JAMALCA","UTCUBAMBA",1,NA
"19","JAZAN","BONGARA",9,NA
"20","JUMBILLA","BONGARA",2,NA
"21","LA PECA","BAGUA",4,NA
"22","LEIMEBAMBA","CHACHAPOYAS",2,NA
"23","LONGAR","RODRIGUEZ DE MENDOZA",1,NA
"24","LONGUITA","LUYA",1,NA
"25","LUYA","LUYA",6,NA
"26","LUYA VIEJO","LUYA",1,NA
"27","MAGDALENA","CHACHAPOYAS",1,NA
"28","MONTEVIDEO","CHACHAPOYAS",1,NA
"29","OCUMAL","LUYA",3,NA
"30","OLLEROS","CHACHAPOYAS",4,NA
"31","PISUQUIA","LUYA",3,NA
"32","QUINJALCA","CHACHAPOYAS",2,NA
"33","RIO SANTIAGO","CONDORCANQUI",1,1
"34","SAN NICOLAS","RODRIGUEZ DE MENDOZA",1,NA
"35","SHIPASBAMBA","BONGARA",1,NA
"36","VALERA","BONGARA",1,NA
"37","YAMBRASBAMBA","BONGARA",1,NA
